Axis 1,Axis 2,Centuries,Numbers
01-washington.jpg,George Washington,1700s,1-10
02-adams.jpg,John Adams,1800s,1-10
03-jefferson.jpg,Thomas Jefferson,1800s,1-10
04-madison.jpg,James Madison,1800s,1-10
05-monroe.jpg,James Monroe,1800s,1-10
06-adams.jpg,John Quincy Adams,1800s,1-10
07-jackson.jpg,Andrew Jackson,1800s,1-10
08-van-buren.jpg,Martin Van Buren,1800s,1-10
09-harrison.jpg,William Henry Harrison,1800s,1-10
10-tyler.jpg,John Tyler,1800s,1-10
11-polk.jpg,James K. Polk,1800s,10-20
12-taylor.jpg,Zachary Taylor,1800s,10-20
13-fillmore.jpg,Millard Fillmore,1800s,10-20
14-pierce.jpg,Franklin Pierce,1800s,10-20
15-buchanan.jpg,James Buchanan,1800s,10-20
16-lincoln.jpg,Abraham Lincoln,1800s,10-20
17-johnson.jpg,Andrew Johnson,1800s,10-20
18-grant.jpg,Ulysses S. Grant,1800s,10-20
19-hayes.jpg,Rutherford B. Hayes,1800s,10-20
20-garfield.jpg,James. A. Garfield,1800s,10-20
21-arthur.jpg,Chester A. Arthur,1800s,20-30
22-24-cleveland.jpg,Grover Cleveland,1800s,20-30
23-harrison.jpg,Benjamin Harrison,1800s,20-30
25-mckinley.jpg,William McKinley,1800s,20-30
26-roosevelt.jpg,Theodore Roosevelt,1900s,20-30
27-taft.jpg,William Howard Taft,1900s,20-30
28-wilson.jpg,Woodrow Wilson,1900s,20-30
29-harding.jpg,Warren G. Harding,1900s,20-30
30-coolidge.jpg,Calvin Coolidge,1900s,20-30
31-hoover.jpg,Herbert Hoover,1900s,30-40
32-roosevelt.jpg,Franklin D. Roosevelt,1900s,30-40
33-truman.jpg,Harry S. Truman,1900s,30-40
34-eisenhower.jpg,Dwight D. Eisenhower,1900s,30-40
35-kennedy.jpg,John. F. Kennedy,1900s,30-40
36-johnson.jpg,Lyndon B. Johnson,1900s,30-40
37-nixon.jpg,Richard M. Nixon,1900s,30-40
38-ford.jpg,Gerald R. Ford,1900s,30-40
39-carter.jpg,James E. Carter,1900s,30-40
40-reagan.jpg,Ronald Reagan,1900s,30-40
41-bush.jpg,George H. W. Bush,1900s,40-50
42-clinton.jpg,Bill Clinton,1900s,40-50
43-bush.jpg,George W Bush,2000s,40-50
44-obama.jpg,Barack Obama,2000s,40-50
45-donald-trump.png,Donald Trump,2000s,40-50
46-joe-biden.png,Joe Biden,2000s,40-50
