Axis 1,Axis 2,Capital,Currency,Currency Name,Continents
Morocco.jpg,Morocco,Rabat,MAD,Moroccan dirham,Africa
Mozambique.jpg,Mozambique,Maputo,MZN,Mozambican metical,Africa
Myanmar.png,Myanmar,Nay Pyi Taw,MMK,Burmese kyat,Asia
Namibia.jpg,Namibia,Windhoek,NAD,Namibian dollar,Africa
Nauru.jpg,Nauru,Yaren,AUD,Australian dollar,Oceania
Nepal.png,Nepal,Kathmandu,NPR,Nepalese rupee,Asia
Netherlands.png,Netherlands,Amsterdam,EUR,Euro,Europe
New Zealand.jpg,New Zealand,Wellington,NZD,New Zealand dollar,Oceania
Nicaragua.png,Nicaragua,Managua,NIO,Nicaraguan cÃ³rdoba,North America
Niger.jpg,Niger,Niamey,XOF,West African CFA franc,Africa
Nigeria.jpg,Nigeria,Abuja,NGN,Nigerian naira,Africa
North Korea.png,North Korea,Pyongyang,KPW,North Korean Won,Asia
Norway.png,Norway,Oslo,NOK,Norwegian krone,Europe
Oman.png,Oman,Muscat,OMR,Omani rial,Asia
Pakistan.png,Pakistan,Islamabad,PKR,Pakistani rupee,Asia
Palau.jpg,Palau,Melekeok,USD,United States dollar,Oceania
Palestine.png,Palestine,East Jerusalem,ILS,Israeli new shekel,Asia
Panama.png,Panama,Panama City,PAB,Panamanian balboa,North America
Papua New Guinea.jpg,Papua New Guinea,Port Moresby,PGK,Papua New Guinean kina,Oceania
Paraguay.png,Paraguay,Asuncion,PYG,Paraguayan guarani,South America
Peru.png,Peru,Lima,PEN,Peruvian sol,South America
Philippines.png,Philippines,Manila,PHP,Philippine peso,Asia
Poland.png,Poland,Warsaw,PLN,Polish zÅ‚oty,Europe
Portugal.png,Portugal,Lisbon,EUR,Euro,Europe
Qatar.png,Qatar,Doha,QAR,Qatari riyal,Asia
Romania.png,Romania,Bucharest,RON,Romanian leu,Europe
Russia.png,Russia,Moscow,RUB,Russian ruble,Europe
Rwanda.jpg,Rwanda,Kigali,RWF,Rwandan franc,Africa
Saint Kitts and Nevis.png,Saint Kitts and Nevis,Basseterre,XCD,Eastern Caribbean dollar,North America
Saint Lucia.png,Saint Lucia,Castries,XCD,Eastern Caribbean dollar,North America
Saint Vincent and the Grenadines.png,Saint Vincent and the Grenadines,Kingstown,XCD,Eastern Caribbean dollar,North America
Samoa.jpg,Samoa,Apia,WST,Samoan tÄlÄ,Oceania
San Marino.png,San Marino,San Marino,EUR,Euro,Europe
Sao Tome and Principe.jpg,Sao Tome and Principe,Sao Tome,STD,Dobra,Africa
Saudi Arabia.png,Saudi Arabia,Riyadh,SAR,Saudi riyal,Asia
Senegal.jpg,Senegal,Dakar,XOF,West African CFA franc,Africa
Serbia.png,Serbia,Belgrade,RSD,Serbian dinar,Europe
Seychelles.jpg,Seychelles,Victoria,SCR,Seychellois rupee,Africa
Sierra Leone.jpg,Sierra Leone,Freetown,SLL,Sierra Leonean leone,Africa
Singapore.png,Singapore,Singapur,SGD,Singapore dollar,Asia
Slovakia.png,Slovakia,Bratislava,EUR,Euro,Europe
Slovenia.png,Slovenia,Ljubljana,EUR,Euro,Europe
Solomon Islands.jpg,Solomon Islands,Honiara,SBD,Solomon Islands dollar,Oceania
Somalia.jpg,Somalia,Mogadishu,SOS,Somali shilling,Africa
South Africa.jpg,South Africa,Pretoria,ZAR,South African rand,Africa
South Korea.png,South Korea,Seoul,KRW,Won,Asia
South Sudan.jpg,South Sudan,Juba,SSP,South Sudanese pound,Africa
Spain.png,Spain,Madrid,EUR,Euro,Europe
Sri Lanka.png,Sri Lanka,Colombo,LKR,Sri Lankan rupee,Asia
Sudan.jpg,Sudan,Khartoum,SDG,Sudanese pound,Africa
Suriname.png,Suriname,Paramaribo,SRD,Surinamese dollar,South America
Sweden.png,Sweden,Stockholm,SEK,Swedish krona,Europe
Switzerland.png,Switzerland,Bern,CHF,Swiss franc,Europe
Syria.png,Syria,Damascus,SYP,Syrian pound,Asia
Taiwan.png,Taiwan,Taipei,TWD,New Taiwan dollar,Asia
Tajikistan.png,Tajikistan,Dushanbe,TJS,Tajikistani somoni,Asia
Tanzania.jpg,Tanzania,Dodoma,TZS,Tanzanian shilling,Africa
Thailand.png,Thailand,Bangkok,THB,Thai baht,Asia
Togo.jpg,Togo,Lome,XOF,West African CFA franc,Africa
Tonga.jpg,Tonga,Nuku'alofa,TOP,Tongan paÊ»anga,Oceania
